programmes,desc,target,link,org
CRS Youth Programme,"To better engage our young men and women, Club Rainbow (Singapore) (CRS) is planning to launch an inaugural Youth Programme with a series of workshops, talks, Youth Day outings, Youth Camp and more on an annual basis.",Young adults,https://www.clubrainbow.org/,Club Rainbow (Singapore)
CSCC Agape Fund,Caritas Singapore is the social mission arm of the Catholic Archdiocese of Singapore,"Low-income, families, youths-at-risk, children, prisoners, people living with HIV/AIDS, people requiring palliative care, migrant workers, overseas poor, and those who are physically and mentally challenged",https://www.giving.sg/,CSCC Agape Fund
CWA Care & Counselling,The CWA Online Counselling service is specifically for caregivers providing care for an elderly with physical or mental disabilities,Caregivers who are providing care for an elderly with physical or mental disabilities,http://www.cwa.org.sg/,Caregiving Welfare Association
CWA Education & Training,CWA runs Education and Awareness programmes to increase public awareness on healthy ageing and equip the elderly with adequate knowledge on ageing gracefully,Senior citizens,http://www.cwa.org.sg/,Caregiving Welfare Association
CWA Self-Help & Support Groups,CWA runs a Caregiver Support Group for caregivers to connect with one another. It is held on the last Saturday of every month,Caregivers who are providing care for an elderly with physical or mental disabilities,http://www.cwa.org.sg/,Caregiving Welfare Association
CWA Welfare & Outreach Programmes,CWA provides Welfare and Social Support services to assist the elderly and their caregivers in their caregiving process,Elderly and their caregivers,http://www.cwa.org.sg/,Caregiving Welfare Association
CWA-Home Nursing Care,"The Caregiving Welfare Association (CWA) aims to provide quality care that promotes the elderly’s well-being at home, and reduce the need for hospital re-admission or being institutionalized, thereby meeting the health and social care needs of the elderly",Any frail or disabled senior who has been assessed and need assistance in ADL or iADL,http://www.cwa.org.sg/,Caregiving Welfare Association
CWS Hub,CWS Hub currently provides basic personal grooming facilities especially for those who are homeless. It aims to be a refuge for those who encounter difficulties in their path of life,Homeless individuals,http://www.catholicwelfare.org.sg/,"Catholic Welfare Services, Singapore"
CWS-BT YouthReach,CWS-BT YouthReach is a joint youth outreach project by CWS and Boys' Town to serve the youths in our community,Youths,http://www.catholicwelfare.org.sg/,"Catholic Welfare Services, Singapore"
Damai Big Heart Student Care,The Big Heart Student Care helps to provide homely and conducive after-school care environment for students and complement MOE in providing educational and developmental support to the students. The student care also reach out to students from less privileged backgrounds and their families to provide holistic and family-centric assistance. [By The Self Help Groups Student Care Limited (SHGSCL)],Students of all races from low-income families,https://bigheartstudentcare.com/,Damai Primary School
Darul Ihsan Lilbanat,"Provides maintenance, care and education of orphans and other unprotected and indigent Muslim children.",Female Muslim children requring care and protection,http://www.mtfa.org/,Darul Ihsan Lilbanat
Darul Ihsan Orphanage,"Provides maintenance, care and education of orphans and other unprotected and indigent Muslim children.",Male Muslim children requring care and protection,http://www.mtfa.org/,Darul Ihsan Orphanage
DAS Education Therapy - Ang Mo Kio Learning Centre,"The Dyslexia Association of Singapore functions as a one-stop centre with a multi-disciplinary team of specialist psychologists, speech language therapists, educational therapists and lecturers to service the dyslexics and those who wish to help them",Children with dyslexia and other specific learning differences,https://www.das.org.sg/,DAS Education Therapy - Ang Mo Kio Learning Centre
DAS Education Therapy - Bedok Learning Centre,"The Dyslexia Association of Singapore functions as a one-stop centre with a multi-disciplinary team of specialist psychologists, speech language therapists, educational therapists and lecturers to service the dyslexics and those who wish to help them",Children with dyslexia and other specific learning differences,https://www.das.org.sg/,DAS Education Therapy - Bedok Learning Centre
DAS Education Therapy - Bishan Learning Centre,"The Dyslexia Association of Singapore functions as a one-stop centre with a multi-disciplinary team of specialist psychologists, speech language therapists, educational therapists and lecturers to service the dyslexics and those who wish to help them",Children with dyslexia and other specific learning differences,https://www.das.org.sg/,DAS Education Therapy - Bishan Learning Centre
DAS Education Therapy - Chinatown Point Learning Centre,"The Dyslexia Association of Singapore functions as a one-stop centre with a multi-disciplinary team of specialist psychologists, speech language therapists, educational therapists and lecturers to service the dyslexics and those who wish to help them",Children with dyslexia and other specific learning differences,https://www.das.org.sg/,DAS Education Therapy - Chinatown Point Learning Centre
DAS Education Therapy - Jurong Point Learning Centre,"The Dyslexia Association of Singapore functions as a one-stop centre with a multi-disciplinary team of specialist psychologists, speech language therapists, educational therapists and lecturers to service the dyslexics and those who wish to help them",Children with dyslexia and other specific learning differences,https://www.das.org.sg/,DAS Education Therapy - Jurong Point Learning Centre
DAS Education Therapy - Parkway Parade Learning Centre,"The Dyslexia Association of Singapore functions as a one-stop centre with a multi-disciplinary team of specialist psychologists, speech language therapists, educational therapists and lecturers to service the dyslexics and those who wish to help them",Children with dyslexia and other specific learning differences,https://www.das.org.sg/,DAS Education Therapy - Parkway Parade Learning Centre
